Exit stations,Entry stations->,,WEEKDAY,,,42125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC,25,42,23,31,148,30,130,296,290,29,39,93,23,21,28,15,15,29,372,142,26,78,46,154,20,1356,1358,563,445,117,70,51,36,74,24,7,5,63,257,14,23,184,33,3,48,0,6875,,,OAK,30762,2099,,,,,,
LF,12,10,12,9,82,11,58,152,151,12,26,52,9,5,10,7,4,14,139,72,89,14,16,90,6,958,889,321,276,59,30,25,13,25,4,3,2,14,50,5,10,92,16,2,26,0,3880,,,CM line,59863,7900,8803,,,,,
OR,10,13,11,10,58,7,44,104,123,8,26,39,8,4,7,2,6,18,49,39,47,21,21,69,5,769,729,246,231,41,26,31,15,26,5,2,2,10,20,6,8,78,11,1,15,0,3022,,,RM line,24577,12245,6379,7234,,,,
RR,25,38,41,28,73,17,77,195,210,41,66,72,21,14,22,11,13,38,95,124,148,84,71,20,36,1139,1267,661,645,234,128,59,50,44,5,7,11,24,65,8,18,150,29,6,32,0,6161,,,WP line,37529,9550,4559,3192,5177,,,
OW,26,44,19,20,102,41,68,81,115,44,129,122,43,50,38,16,15,25,22,16,19,5,5,37,22,1632,1414,1013,850,357,212,57,75,61,14,12,23,9,36,10,28,75,30,10,11,0,7052,,,FT/ED line,43111,17167,7041,8144,3331,12544,,
EM,419,1065,677,836,1284,960,1287,1601,1625,1059,1145,775,903,841,639,525,1135,2149,1198,1958,1686,1095,861,1243,1961,183,127,519,524,1065,1719,1202,1551,1297,848,642,2280,613,939,648,556,535,1056,1004,177,0,46411,,,SFIA,16551,1800,5284,1635,1855,1262,1035,345575
MT,437,978,650,683,1021,877,1229,1364,1209,1005,1064,637,726,740,545,411,825,1593,1023,1619,1251,794,655,1103,1493,143,160,200,522,1475,2403,1711,2729,1887,1110,547,1570,514,829,889,755,535,1554,699,119,0,44281,,,,,,,,,,,
PL,375,730,335,363,936,432,782,818,836,626,747,549,439,445,308,219,305,539,452,486,445,235,183,496,905,769,337,169,384,1445,1900,1205,2352,1338,639,235,606,254,510,441,438,1537,718,264,150,0,28673,,,,,,,,,,,
CC,306,614,366,424,630,507,812,847,717,530,774,442,405,383,279,220,273,425,427,460,347,238,192,520,816,536,520,343,110,711,1189,843,1476,832,532,225,551,232,473,381,369,566,568,228,71,0,22710,,,,,,,,,,,
16,166,188,96,160,365,255,394,436,347,248,299,187,132,119,93,68,68,118,105,115,102,48,38,194,354,1076,1502,1696,790,80,301,363,793,339,170,63,139,66,169,139,137,247,289,51,24,0,13127,,,,,,,,,,,
